Symbol,Date,Reason,Checked
MLYCF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MMTIF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MONI,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MRDB,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MRES,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MRGE,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MRLLF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MSEZ,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MSSV,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MTPP,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MTRBF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MVCO,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MXTRF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MYMX,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
MYMXD,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NASO,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NAUH,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NEPT,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NEPTF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NEVDF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NGTF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NILA,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
NILTF,2024-03-13 21:23:49.765876,Current Ratio Below 0.5,2024-09-01
